HP:0000002	abnormality body height
HP:0000075	kidney supernumerary
HP:0000075	duplication renal
HP:0000076	reflux ureteral
HP:0000076	reflux vesicoureteral
HP:0000076	reflux ureteric
HP:0000076	reflux ureteral vesico
HP:0000076	reflux vesicoureteric
HP:0000077	abnormal kidney
HP:0000077	abnormality kidney
HP:0000077	anomalies renal
HP:0000077	anomaly renal
HP:0000078	abnormality genital
HP:0000078	anomalies genital
HP:0000078	abnormalities genital
HP:0000078	abnormality reproductive system
HP:0000078	abnormality genital system
HP:0000078	defects genital
HP:0000079	abnormality tract urinary
HP:0000079	abnormalities tract urinary
HP:0000079	anomalies tract urinary
HP:0000079	abnormality system urinary
HP:0000080	abnormality genital physiology
HP:0000080	abnormality functional genital
HP:0000080	abnormality physiology reproductive system
HP:0000081	collecting duplicated system
HP:0000081	collecting double intravenous on pyelography systems urinary
HP:0000081	collecting double system
HP:0000081	collecting duplicated renal system
HP:0000081	collecting duplex system
HP:0000083	adulthood failure renal
HP:0000083	insufficiency renal
HP:0000083	failure renal
HP:0000085	horseshoe kidney
HP:0000085	fused kidneys
HP:0000085	horseshoe kidneys
HP:0000086	abnormal kidney location
HP:0000086	ectopia renal
HP:0000086	ectopic kidney
HP:0000086	displaced kidney
HP:0000086	ectopic kidneys
HP:0000089	hypoplastic kidneys
HP:0000089	kidneys underdeveloped
HP:0000089	hypoplasia renal
HP:0000089	kidneys small
HP:0000089	hypoplastic kidney
HP:0000090	juvenile nephronophthisis
HP:0000090	nephronophthisis
HP:0000091	abnormal morphology renal tubule
HP:0000091	abnormality morphologic renal tubules
HP:0000091	abnormality renal tubule
HP:0000092	atrophy cell renal tubular
HP:0000092	atrophy renal tubular
HP:0000092	atrophy tubular
HP:0000093	high levels protein urine
HP:0000093	proteinuria
HP:0000093	protein urine
HP:0000095	abnormal glomerulus morphology renal
HP:0000095	abnormality glomerulus morphology renal
HP:0000095	abnormality glomerulus morphologic renal
HP:0000096	glomerular sclerosis
HP:0000096	fibrosis glomerular renal
HP:0000096	glomerulosclerosis
HP:0000097	focal glomerular sclerosis segmental
HP:0000097	focal glomerulosclerosis
HP:0000097	focal glomerulosclerosis segmental
HP:0000098	growth increased linear
HP:0000098	body height increased
HP:0000098	accelerated growth linear
HP:0000098	stature tall
HP:0000099	glomerular nephritis
HP:0000099	glomerulonephritis
HP:0000100	nephrosis
HP:0000100	nephrotic syndrome
HP:0000103	polyuria
HP:0000103	increased output urine
HP:0000104	agenesis renal
HP:0000104	aplasia renal
HP:0000104	absent kidney
HP:0000104	kidney missing
HP:0000105	kidneys large
HP:0000105	nephromegaly
HP:0000105	kidney large
HP:0000105	enlargement renal
HP:0000105	enlarged kidney
HP:0000107	cystic disease kidney
HP:0000107	cyst kidney
HP:0000107	cyst renal
HP:0000107	cystic kidneys
HP:0000107	cysts renal
HP:0000108	corticomedullary cysts renal
HP:0000108	corticomedullary cystic disease renal
HP:0000110	dysplastic kidneys
HP:0000110	dysplasia renal
HP:0000110	adysplasia renal
HP:0000111	cell hyperplasia hypertrophy juxtaglomerular renal
HP:0000112	nephropathy
HP:0000112	damage kidney
HP:0000112	disease kidney
HP:0000113	kidneys polycystic
HP:0000113	disease kidney polycystic
HP:0000113	dysplasia kidney polycystic
HP:0000113	enlarged kidneys polycystic
HP:0000114	proximal tubulopathy
HP:0000114	defect proximal tubular
HP:0000114	damage proximal selective tubular
HP:0000114	defect proximal renal tubule
HP:0000114	proximal renal tubulopathy
HP:0000114	dysfunction proximal tubule
HP:0000117	decreased phosphate reabsorption renal tubular
HP:0000117	decreased filtration for glomerular maximum per phosphate rate reabsorption tubular
HP:0000117	low phosphate reabsorption tubular
HP:0000117	phosphate renal wasting
HP:0000118	abnormality organ
HP:0000118	abnormality phenotypic
HP:0000119	abnormality genitourinary system
HP:0000119	genitourinary malformation tract
HP:0000119	anomalies urogenital
HP:0000119	abnormalities urogenital
HP:0000119	anomalies genitourinary tract
HP:0000119	abnormality gu system
HP:0000119	abnormality genitourinary
HP:0000119	dysplasia genitourinary
HP:0000119	disease genitourinary
HP:0000121	nephrocalcinosis
HP:0000121	calcium increased kidney level
HP:0000121	calcium deposited kidneys much too
HP:0000122	kidney single
HP:0000122	kidney missing one
HP:0000122	absent kidney on one side
HP:0000122	agenesis renal unilateral
HP:0000122	agenesis kidney unilateral
HP:0000123	inflammation kidney
HP:0000123	nephritis
HP:0000124	dysfunction renal tubular
HP:0000124	abnormal filtrating function kidney structures
HP:0000124	defect renal tubular
HP:0000124	disease renal tubular
HP:0000125	kidney sacral
HP:0000125	kidney pelvic
HP:0000126	hydronephrosis
HP:0000127	renal salt wasting
HP:0000127	salt wasting
HP:0000127	loss salt urine
HP:0000128	k renal wasting
HP:0000128	potassium renal wasting
HP:0000130	abnormalities uterine
HP:0000130	abnormality uterus
HP:0000130	malformations uterine
HP:0000131	benign leiomyomas uterine
HP:0000131	leiomyoma uterine
HP:0000131	fibroid uterine
HP:0000132	abnormally bleeding during heavy menstruation
HP:0000132	hypermenorrhea
HP:0000132	abnormally heavy periods
HP:0000132	menorrhagia
HP:0000133	dysgenesis gonadal
HP:0000133	dysgenesis gonadal pure
HP:0000133	dysgenesis gonadal mixed
HP:0000134	female hypogonadism
HP:0000135	hypogonadism
HP:0000135	activity decreased gonads
HP:0000136	bifid uterus
HP:0000137	disease ovarian
HP:0000137	abnormality ovary
HP:0000137	abnormality ovaries
HP:0000138	abnormalities cystic ovaries
HP:0000138	cyst ovarian
HP:0000138	abnormality cystic ovarian
HP:0000138	cystic ovaries
HP:0000139	sagging uterus
HP:0000139	prolapse uterine
HP:0000140	abnormality cycle menstrual
HP:0000140	abnormalities menstrual
HP:0000141	amenorrhea
HP:0000141	abnormal absence menstruation
HP:0000142	abnormal morphology vagina
HP:0000142	malformation vaginal
HP:0000143	fistula rectovaginal
HP:0000143	abnormal between connection rectum vagina
HP:0000144	decreased fertility
HP:0000144	abnormal fertility
HP:0000145	membrane transverse vaginal
HP:0000145	septum transverse vaginal
HP:0000147	ovary polycystic
HP:0000147	disease ovary polycystic
HP:0000147	ovaries polycystic
HP:0000147	ovaries sclerocystic
HP:0000148	atresia vaginal
HP:0000148	abnormally absent closed or vagina
HP:0000149	gonadoblastoma ovarian
HP:0000149	female gonadoblastoma
HP:0000150	gonadoblastoma
HP:0000151	aplasia uterus
HP:0000151	absent uterus
HP:0000152	abnormality head neck or
HP:0000152	abnormality head neck
HP:0000153	abnormality mouth
HP:0000153	abnormal mouth
HP:0000154	aperture large oral
HP:0000154	mouth wide
HP:0000154	macrostomia
HP:0000154	broad mouth
HP:0000154	large mouth
HP:0000155	oral ulcer
HP:0000155	mouth ulcer
HP:0000155	mucosal oral ulceration
HP:0000155	mouth sore
HP:0000157	abnormality lingual
HP:0000157	abnormal tongue
HP:0000157	abnormality glossal
HP:0000157	abnormality tongue
HP:0000158	abnormally large tongue
HP:0000158	hypertrophy tongue
HP:0000158	large tongue
HP:0000158	glossal hypertrophy
HP:0000158	hyperplasia lingual
HP:0000158	hypertrophy lingual
HP:0000158	increased size tongue
HP:0000158	macroglossia
HP:0000158	hyperplasia tongue
HP:0000159	lip malformation
HP:0000159	abnormal lip morphology
HP:0000159	abnormality lip
HP:0000159	anomaly lip
HP:0000159	abnormal lip
HP:0000159	deformity lip
HP:0000160	mouth narrow
HP:0000160	mouth small
HP:0000160	microstomia
HP:0000160	aperture oral small
HP:0000161	central cleft lip upper
HP:0000161	cleft lip median
HP:0000161	cleft lip midline
HP:0000162	lingual retraction
HP:0000162	displacement posterior tongue
HP:0000162	glossoptosis
HP:0000162	retraction tongue
HP:0000163	abnormality cavity oral
HP:0000163	abnormal cavity morphology oral
HP:0000164	abnormal teeth
HP:0000164	abnormalities dental
HP:0000164	dental problems
HP:0000164	abnormal dentition
HP:0000164	anomalies dental
HP:0000164	abnormalities tooth
HP:0000164	dental problem
HP:0000164	abnormality teeth
HP:0000164	abnormality dental
HP:0000164	abnormality dentition
HP:0000166	pyorrhea severe
HP:0000166	periodontitis severe
HP:0000166	disease periodontal severe
HP:0000166	disease gum severe
HP:0000168	abnormality gingiva
HP:0000168	abnormality gums
HP:0000168	abnormality gingival
HP:0000169	fibrous gingival nodules
HP:0000169	fibroma gingival
HP:0000169	gingival hyperplasia idiopathic
HP:0000169	fibromatosis gingival hereditary
HP:0000169	fibromatosis gingival
HP:0000171	hypoplasia lingual
HP:0000171	decreased size tongue
HP:0000171	rudimentary tongue
HP:0000171	hypoglossia
HP:0000171	tongue underdevelopment
HP:0000171	hypoplastic tongue
HP:0000171	microglossia
HP:0000171	small tongue
HP:0000171	abnormally small tongue
HP:0000171	hypoplasia tongue
HP:0000172	abnormality uvula
HP:0000172	abnormality palatine uvula
HP:0000172	abnormal morphology uvula
HP:0000174	abnormality mouth roof
HP:0000174	abnormal morphology palate
HP:0000174	abnormality palate
HP:0000174	anomaly palatal
HP:0000175	cleft palate secondary
HP:0000175	cleft hard palate soft
HP:0000175	uranostaphyloschisis
HP:0000175	cleft mouth roof
HP:0000175	cleft palate
HP:0000175	palatoschisis
HP:0000176	cleft hard palate submucous
HP:0000176	clefting submucous
HP:0000176	cleft palate submucosal
HP:0000176	cleft hard palate partial thickness
HP:0000177	deformity lip upper
HP:0000177	lip malformation upper
HP:0000177	abnormal lip morphology upper
HP:0000177	abnormality lip upper
HP:0000177	anomaly lip upper
HP:0000178	abnormality lip lower
HP:0000178	abnormal lip lower morphology
HP:0000178	anomaly lip lower
HP:0000178	deformity lip lower
HP:0000178	lip lower malformation
HP:0000179	increased lip lower vermilion volume
HP:0000179	full lip lower vermilion
HP:0000179	increased lip lower volume
HP:0000179	lip lower prominent vermilion
HP:0000179	lip lower prominent
HP:0000179	full lip lower
HP:0000179	border lip lower thick vermilion
HP:0000179	lip lower part red thick
HP:0000179	lip lower thick vermilion
HP:0000179	lip lower thick
HP:0000179	lip lower plump
HP:0000179	height increased lip lower vermilion
HP:0000180	lingual lobules
HP:0000180	bumpy tongue
HP:0000180	lobulate tongue
HP:0000180	lobulated tongue
HP:0000182	abnormality movement tongue
HP:0000182	abnormality lingual movement
HP:0000183	hypokinesia tongue
HP:0000183	hypokinesia lingual
HP:0000183	difficulty movements tongue
HP:0000183	difficulty lingual movements
HP:0000185	cleft palate soft
HP:0000185	cleft velum
HP:0000185	cleft muscular palate
HP:0000187	alveolar margins wide
HP:0000187	alveolar broad ridges
HP:0000187	gum ridges wide
HP:0000187	alveolar broad margins
HP:0000187	alveolar ridges widened
HP:0000187	alveolar jaw processes wide
HP:0000187	alveolar broad jaw processes
HP:0000188	decreased labial length upper
HP:0000188	deficiency lip upper vertical
HP:0000188	lip short upper
HP:0000188	decreased height lip upper
HP:0000188	decreased length lip upper vertical
HP:0000188	decreased height labial upper
HP:0000188	lip shortening upper
HP:0000189	narrow palate
HP:0000189	mouth narrow roof
HP:0000189	decreased palatal width
HP:0000189	decreased dimension palate transverse
HP:0000190	abnormality frenum lingual
HP:0000190	abnormal frenulum morphology oral
HP:0000190	abnormality frenum oral
HP:0000190	abnormality frenum tongue
HP:0000190	abnormality frenula oral
HP:0000191	extra frenulum oral
HP:0000191	frenula multiple oral
HP:0000191	frenulum oral supernumerary
HP:0000191	accessory frenum oral
HP:0000191	frenum oral supernumerary
HP:0000191	accessory frenulum oral
HP:0000191	extra frenum oral
HP:0000193	bifida uvula
HP:0000193	bifid palatine uvula
HP:0000193	forked uvula
HP:0000193	split uvula
HP:0000193	cleft uvula
HP:0000193	bifid uvula
HP:0000194	appearance gaped mouthed
HP:0000194	appearance mouth open
HP:0000194	appearance jawed slack
HP:0000194	mouth open
HP:0000194	appearance gaped jawed
HP:0000196	lip lower pit
HP:0000197	abnormality gland parotid
HP:0000197	anomaly gland parotid
HP:0000197	abnormal gland morphology parotid
HP:0000198	absence duct parotid
HP:0000198	absence duct stensen
HP:0000198	duct missing stensen
HP:0000198	development duct failure parotid
HP:0000198	absent duct stensen
HP:0000198	development duct failure stensen
HP:0000198	agenesis duct parotid
HP:0000198	duct missing parotid
HP:0000198	agenesis duct stensen
HP:0000199	lingual nodules
HP:0000199	nodules tongue
HP:0000200	frenulum lingual short
HP:0000200	frenulum hypoplasia lingual
HP:0000200	frenum hypoplasia lingual
HP:0000200	frenulum hypoplasia tongue
HP:0000200	deficiency frenulum lingual
HP:0000200	frenum lingual short
HP:0000200	frenum hypoplasia tongue
HP:0000200	frenum short tongue
HP:0000200	frenulum lingual tight
HP:0000200	frenulum short tongue
HP:0000201	robin sequence
HP:0000201	pierre robin sequence
HP:0000201	deformity pierre robin
HP:0000201	malformation pierre robin
HP:0000201	anomaly pierre robin
HP:0000202	cleft mouth
HP:0000202	cleft oral
HP:0000202	clefting oral
HP:0000202	cleft lip palate
HP:0000204	cheiloschisis lip upper
HP:0000204	cleft lip upper
HP:0000204	harelip
HP:0000205	lips pursed
HP:0000205	closed lips tightly
HP:0000206	glossitis
HP:0000206	smooth swollen tongue
HP:0000206	inflammation tongue
HP:0000206	inflammation lingual
HP:0000207	mouth shaped triangular
HP:0000207	mouth triangular
HP:0000207	aperture oral shaped triangular
HP:0000211	mastication muscles pain
HP:0000211	jaw limited mobility
HP:0000211	jaw limited opening
HP:0000211	decrease jaw opening
HP:0000211	limited mandibular mobility
HP:0000211	jaw limited movement
HP:0000211	decrease mandibular mobility
HP:0000211	decrease mandibular opening
HP:0000211	decrease mandibular movement
HP:0000211	lockjaw
HP:0000211	limited mandibular opening
HP:0000211	trismus
HP:0000211	limited mouth opening
HP:0000211	decrease jaw mobility
HP:0000211	decrease jaw movement
HP:0000212	gingivitis hypertrophic
HP:0000212	gum hypertrophy
HP:0000212	enlargement gingival
HP:0000212	gingival overgrowth
HP:0000212	hyperplasia oral soft tissue
HP:0000212	enlargement gum
HP:0000212	gingival hyperplasia
HP:0000214	labial telangiectasia
HP:0000214	lip telangiectasia
HP:0000214	lips telangiectasia
HP:0000214	angioectasias labial
HP:0000214	lip telangiectases
HP:0000214	angioectasias lip
HP:0000214	lip spider veins
HP:0000215	lip plump upper
HP:0000215	border lip thick upper vermilion
HP:0000215	full lip upper
HP:0000215	increased lip upper volume
HP:0000215	lip prominent upper
HP:0000215	increased lip upper vermilion volume
HP:0000215	lip thick upper vermilion
HP:0000215	lip part red thick upper
HP:0000215	lip thick upper
HP:0000215	height increased lip upper vermilion
HP:0000215	lip prominent upper vermilion
HP:0000215	full lip upper vermilion
HP:0000216	alveolar ridges secondary
HP:0000216	alveolar broad ridge secondary
HP:0000217	reduced salivation
HP:0000217	dry mouth
HP:0000217	xerostomia
HP:0000217	decreased flow salivary
HP:0000217	dry mouth syndrome
HP:0000218	high palate
HP:0000218	elevated palate
HP:0000218	arched high palate
HP:0000218	height increased palatal
HP:0000218	ogival palate
HP:0000219	lip thin upper vermilion
HP:0000219	lips thin upper
HP:0000219	lip part red thin upper
HP:0000219	decreased lip upper vermilion volume
HP:0000219	border lip thin upper vermilion
HP:0000219	lip thin upper
HP:0000219	decreased height lip upper vermilion
HP:0000219	decreased lip upper volume
HP:0000220	incompetence velopharyngeal
HP:0000220	insufficiency velopharyngeal
HP:0000220	dysfunction velopharyngeal
HP:0000221	lingua plicata
HP:0000221	fissured tongue
HP:0000221	furrowed tongue
HP:0000221	grooves prominent tongue
HP:0000221	furrow lingual
HP:0000221	grooved tongue
HP:0000221	scrotal tongue
HP:0000221	plicated tongue
HP:0000222	gingival hyperkeratosis
HP:0000223	abnormality sensation taste
HP:0000224	decreased sensation taste
HP:0000224	hypogeusia
HP:0000224	decreased taste
HP:0000225	bleeding gums
HP:0000225	bleeding gingival
HP:0000225	gingivorrhagia
HP:0000225	gingival haemorrhage
HP:0000225	gingival hemorrhage
HP:0000227	angioectasias tongue
HP:0000227	lingual telangiectasia
HP:0000227	telangiectasia tongue
HP:0000227	spider tongue veins
HP:0000227	angioectasias lingual
HP:0000228	mouth spider veins
HP:0000228	angioectasias cavity oral
HP:0000228	cavity oral spider veins
HP:0000228	angioectasias mouth
HP:0000228	cavity oral telangiectasia
HP:0000228	cavity oral teleangiectasia
HP:0000230	gingival inflammation
HP:0000230	gingivitis
HP:0000230	gums inflamed
HP:0000230	gums red swollen
HP:0000232	lip lower outward turned
HP:0000232	everted lip lower prominent
HP:0000232	lip lower protruding
HP:0000232	everted lip lower
HP:0000232	everted lip lower vermilion
HP:0000232	eclabium lip lower
HP:0000232	drooping lip lower
HP:0000233	decreased lip vermillion volume
HP:0000233	thin vermillion
HP:0000233	borders thin vermilion
HP:0000233	decreased lip volume
HP:0000233	lips thin
HP:0000233	border thin vermilion
HP:0000234	abnormal head
HP:0000234	abnormality head
HP:0000235	abnormality cranial fontanelles or sutures
HP:0000236	abnormality anterior fontanelle
HP:0000236	abnormality forehead soft spot
HP:0000237	fontanel forehead small
HP:0000237	anterior fontanelle small
HP:0000237	anterior fontanel small
HP:0000238	hydrocephalus
HP:0000238	hydrocephaly
HP:0000238	brain cerebrospinal fluid much too
HP:0000238	hydrocephalus nonsyndromal
HP:0000239	fontanelles wide
HP:0000239	bregma large sutures
HP:0000239	bregma sutures wide
HP:0000239	closing fontanelle large late
HP:0000239	enlarged fontanelles
HP:0000239	fontanelles large
HP:0000239	fontanelle large
HP:0000239	fontanel large
HP:0000239	fontanels large
HP:0000239	fontanel persistent wide
HP:0000240	abnormality cranium size
HP:0000240	abnormality head size
HP:0000240	abnormality size skull
HP:0000242	bone bossing parietal
HP:0000242	bossing parietal
HP:0000242	biparietal bossing
HP:0000243	shaped skull wedge
HP:0000243	head shaped wedge
HP:0000243	cranium shaped wedge
HP:0000243	head shape triangular
HP:0000243	trigonocephaly
HP:0000243	shape skull triangular
HP:0000243	cranium shape triangular
HP:0000244	brachy turricephaly
HP:0000244	turribrachycephaly
HP:0000244	forehead high prominent
HP:0000244	brachyturricephaly
HP:0000245	abnormality paranasal sinuses
HP:0000245	abnormal morphology paranasal sinus
HP:0000245	abnormality head sinuses
HP:0000245	abnormality sinuses
HP:0000246	disease sinus
HP:0000246	sinusitis
HP:0000246	inflammation sinus
HP:0000246	infection sinus
HP:0000248	cranium shape wide
HP:0000248	brachycephaly
HP:0000248	broad cranium shape
HP:0000248	shape skull wide
HP:0000248	broad short skull
HP:0000248	head shape wide
HP:0000248	broad head shape
HP:0000248	broad shape skull
HP:0000250	calvaria dense
HP:0000250	cap dense skull
HP:0000252	circumference head small
HP:0000252	cranium decreased size
HP:0000252	microcephaly
HP:0000252	circumference head reduced
HP:0000252	decreased head size
HP:0000252	abnormally skull small
HP:0000252	head small
HP:0000252	decreased size skull
HP:0000252	abnormally head small
HP:0000252	circumference cranium decreased
HP:0000252	cranium small
HP:0000252	calvarium small
HP:0000252	skull small
HP:0000252	abnormally cranium small
HP:0000253	abnormally progressively skull small
HP:0000253	microcephaly progressive
HP:0000253	microcephaly postnatal progressive
HP:0000253	abnormally cranium progressively small
HP:0000255	acute sinusitis
HP:0000256	big head
HP:0000256	increased size skull
HP:0000256	calvaria large
HP:0000256	large skull
HP:0000256	macrocephaly
HP:0000256	macrocephalus
HP:0000256	head large
HP:0000256	macrocrania
HP:0000256	cranium increased size
HP:0000256	big skull
HP:0000256	megacephaly
HP:0000256	cranium large
HP:0000256	head increased size
HP:0000256	big cranium
HP:0000256	circumference head large
HP:0000256	big calvaria
HP:0000260	anterior fontanelle large open
HP:0000260	anterior fontanelle open wide
HP:0000260	anterior fontanels large
HP:0000260	anterior fontanel large open
HP:0000260	skull soft spot than typical wider
HP:0000260	anterior fontanelle wide
HP:0000260	anterior fontanel large
HP:0000260	anterior fontanelle large
HP:0000260	anterior fontanel wide
HP:0000262	head shaped tall
HP:0000262	turricephaly
HP:0000262	turricephalus
HP:0000262	cranium shaped tall
HP:0000262	shape skull tower
HP:0000262	shaped skull tall
HP:0000262	cranium shape tower
HP:0000263	oxycephaly
HP:0000263	acrocephaly
HP:0000264	abnormality bone mastoid process temporal
HP:0000264	abnormality mastoid
HP:0000264	abnormal mastoid morphology
HP:0000265	mastoiditis
HP:0000267	abnormality head shape
HP:0000267	head shape uneven
HP:0000267	cranium malformation shape
HP:0000267	head malformation shape
HP:0000267	asymmetry head
HP:0000267	abnormality cranium shape
HP:0000267	abnormality cranial shape vault
HP:0000267	asymmetry cranial vault
HP:0000267	asymmetry cranial
HP:0000267	asymmetry cranium
HP:0000267	cranial malformation shape vault
HP:0000268	dolichocephaly
HP:0000268	head narrow shape
HP:0000268	dolichocephalic large skull
HP:0000268	head long narrow
HP:0000268	cranium narrow shape
HP:0000268	narrow shape skull
HP:0000268	narrow skull tall
HP:0000268	turridolichocephaly
HP:0000269	cranium posterior prominent
HP:0000269	occiput protruding
HP:0000269	occiput prominent
HP:0000269	back prominent skull
HP:0000269	back head prominent
HP:0000269	head posterior prominent
HP:0000269	posterior prominent skull
HP:0000269	back head protruding
HP:0000270	closing fontanelles late
HP:0000270	broad closing cranial late sutures
HP:0000270	open sutures
HP:0000270	closing fontanelle late
HP:0000270	closure delayed fontanelles
HP:0000270	closure delayed fontanelle
HP:0000270	closure delayed fontanel
HP:0000270	closure fontanelle late
HP:0000270	closure delayed fontanels
HP:0000270	closure cranial delayed suture
HP:0000271	anomaly face
HP:0000271	abnormal face
HP:0000271	abnormality face
HP:0000271	disorder face
HP:0000271	abnormality visage
HP:0000271	anomaly facial
HP:0000271	abnormality facial
HP:0000271	abnormality physiognomy
HP:0000271	abnormality countenance
HP:0000272	flattening zygomatic
HP:0000272	bone decreased malar size
HP:0000272	bone hypotrophic malar
HP:0000272	flattening malar
HP:0000272	depressed malar region
HP:0000272	hypoplasia malar
HP:0000272	cheekbone flat
HP:0000272	bone malar underdevelopment
HP:0000273	facial grimacing
HP:0000274	face small
HP:0000274	microfacies
HP:0000274	face hypoplasia
HP:0000274	facial hypoplasia
HP:0000274	facies small
HP:0000274	face narrow short
HP:0000274	microface
HP:0000275	face thin
HP:0000275	face narrow
HP:0000275	deficiency face horizontal
HP:0000275	facies narrow
HP:0000275	face hypoplasia transverse
HP:0000275	decreased dimension face transverse
HP:0000275	decreased dimension face horizontal
HP:0000275	breadth decreased face
HP:0000275	face insufficiency transverse
HP:0000275	facies thin
HP:0000275	deficiency face transverse
HP:0000275	face horizontal insufficiency
HP:0000275	decreased face width
HP:0000275	face horizontal hypoplasia
HP:0000276	elongation face
HP:0000276	face increased length
HP:0000276	dimension face increased vertical
HP:0000276	face hyperplasia vertical
HP:0000276	excess face vertical
HP:0000276	face overgrowth vertical
HP:0000276	enlargement face vertical
HP:0000276	excess facial vertical
HP:0000276	elongation face vertical
HP:0000276	facies long
HP:0000276	face height increased
HP:0000276	face long
HP:0000277	abnormal mandible morphology
HP:0000277	bone deformity jaw lower
HP:0000277	bone jaw lower malformation
